table_name	column_name
mdl_block_rss_client	shared
mdl_block_rss_client	url
mdl_block_rss_client	skiptime
mdl_block_rss_client	skipuntil
mdl_blog_association	id
mdl_blog_association	contextid
mdl_blog_association	blogid
mdl_blog_external	id
mdl_blog_external	userid
mdl_blog_external	name
mdl_blog_external	description
mdl_blog_external	url
mdl_blog_external	filtertags
mdl_blog_external	failedlastsync
mdl_blog_external	timemodified
mdl_blog_external	timefetched
mdl_book	id
mdl_book	course
mdl_book	name
mdl_book	intro
mdl_book	introformat
mdl_book	numbering
mdl_book	navstyle
mdl_book	customtitles
mdl_book	revision
mdl_book	timecreated
mdl_book	timemodified
mdl_book_chapters	id
mdl_book_chapters	bookid
mdl_book_chapters	pagenum
mdl_book_chapters	subchapter
mdl_book_chapters	title
mdl_book_chapters	content
mdl_book_chapters	contentformat
mdl_book_chapters	hidden
mdl_book_chapters	timecreated
mdl_book_chapters	timemodified
mdl_book_chapters	importsrc
mdl_cache_filters	id
mdl_cache_filters	filter
mdl_cache_filters	version
mdl_cache_filters	md5key
mdl_cache_filters	rawtext
mdl_cache_filters	timemodified
mdl_cache_flags	id
mdl_cache_flags	flagtype
mdl_cache_flags	name
mdl_cache_flags	timemodified
mdl_cache_flags	value
mdl_cache_flags	expiry
mdl_capabilities	id
mdl_capabilities	name
mdl_capabilities	captype
mdl_capabilities	contextlevel
mdl_capabilities	component
mdl_capabilities	riskbitmask
mdl_chat	id
mdl_chat	course
mdl_chat	name
mdl_chat	intro
mdl_chat	introformat
mdl_chat	keepdays
mdl_chat	studentlogs
mdl_chat	chattime
mdl_chat	schedule
mdl_chat	timemodified
mdl_chat_messages	id
mdl_chat_messages	chatid
mdl_chat_messages	userid
mdl_chat_messages	groupid
mdl_chat_messages	system
mdl_chat_messages	message
mdl_chat_messages	timestamp
mdl_chat_messages_current	id
mdl_chat_messages_current	chatid
mdl_chat_messages_current	userid
mdl_chat_messages_current	groupid
mdl_chat_messages_current	system
mdl_chat_messages_current	message
mdl_chat_messages_current	timestamp
mdl_chat_users	id
